Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Alpelisib,Fulvestrant,Placebo + fulvestrant,2nd line postmenopausal PIK3CA-mutated HR+ HER2-,Breast Cancer,Breast Cancer,PIK3CA-mutated HR+ HER2-,Advanced,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1813904,NA,NA,Placebo + fulvestrant,NA,NA,NA,NA,Form 2b,PFS,2nd line postmenopausal PIK3CA-mutated HR+ HER2-  ,SOLAR-1,            Advanced    ,PIK3CA-mutated HR+ HER2-,Breast Cancer,Breast Cancer,Fulvestrant,NA,0.65 (0.50-0.85),3,NA,NA,NA,5.7 months,5.3 months,3,NA,NA,06.08.2020,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Trastuzumab deruxtecan,-,Single arm study,Unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based treatments,Breast Cancer,Breast Cancer,HER2+,Unresectable or metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1914510,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,ORR (Phase II)  ,Unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based treatments,DESTINY-Breast01,            Unresectable or metastatic    ,HER2+,Breast Cancer,Breast Cancer,NA,NA,NA,2,NA,NA,NA,16.4 months,NA,3,NA,NA,NA,1-,52.2% Grade 3+ toxicity 2% toxic fatalities,NA,NA,NA,Approved by the FDA awaiting EMA approval,NA,NA,20.04.2020,60.9%,20.04.2020,14.8 months,NA,NA,NA,NA,NA,NA
Talazoparib,-,Standard chemotherapy,Post anathacycline and taxane,Breast Cancer,Breast Cancer,HER2- g-BrCa+ve,Advanced,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1802905,https://www.annalsofoncology.org/article/S0923-7534(19)34176-6/fulltext,NA,Standard chemotherapy,NA,NA,NA,NA,Form 2b,PFS,Post anathacycline and taxane,EMBRACA,            Advanced    ,HER2- g-BrCa+ve,Breast Cancer,Breast Cancer,NA,NA,0.54 (0.41-0.71),4,NA,NA,NA,5.6 months,3 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Olaparib,-,Standard chemotherapy,<2 previous chemotherapy regimens,Breast Cancer,Breast Cancer,HER2- g-BrCa+ve,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1706450?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.annalsofoncology.org/article/S0923-7534(19)31111-1/fulltext,NA,Standard chemotherapy,NA,NA,NA,NA,Form 2b,PFS,<2 previous chemotherapy regimens ,OlympiAD,            Metastatic    ,HER2- g-BrCa+ve,Breast Cancer,Breast Cancer,NA,NA,0.58 (0.43-0.80),4,17.1 months,2.2 months,Not significant ,4.2 months,2.8 months,3,NA,Pending,NA,1+,Reduced,NA,NA,NA,NA,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Tucatinib,Trastuzumab + capecitabine,"Placebo, trastuzumab + capecitabine","Disease progression after therapy with trastuzumab, pertuzumab and trastuzumab entansine",Breast Cancer,Breast Cancer,HER2+,Metastatic,3,NA,NA,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1914609,NA,NA,"Placebo, trastuzumab + capecitabine",NA,NA,NA,NA,Form 2a,Primary: PFS on first 480 randomized  - Secondary: OS on total 612 randomized ,"Disease progression after therapy with trastuzumab, pertuzumab and trastuzumab entansine",HER2CLIMB,            Metastatic    ,HER2+,Breast Cancer,Breast Cancer,Trastuzumab + capecitabine,NA,0.54 (0.42-0.71),3,17.4 months,4.5 months,0.66 (050-0.88),5.6 months,2.2 months,3,NA,NA,NA,NA,NA,NA,NA,NA,Approved by the FDA awaiting EMA approval ,NA,NA,20.04.2020,NA,20.04.2020,NA,NA,NA,NA,NA,NA,NA
Binimetinib,Encorafenib,Vemurafenib,Advanced unresectable or metastatic melanoma with  BRAF V600,Skin Cancers,Melanoma,BRAF V600,Unresectable or metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30497-2/fulltext,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30142-6/fulltext,NA,Vemurafenib,NA,NA,NA,NA,Form 2a,PFS and OS,Advanced unresectable or metastatic melanoma with  BRAF V600 ,COLUMBUS,            Unresectable or metastatic    ,BRAF V600,Melanoma,Skin Cancers,Encorafenib,NA,0.51 (0.39-0.67),4,16.9 months,16.7 months,0.61 (0.47-0.79),7.3 months,7.6 months,4,NA,NA,23.07.2020,NA,NA,NA,OS,NA,NA,NA,NA,21.04.2020,NA,21.04.2020,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,Erlotinib,Placebo + Erlotinib,1st line treatment of NSCLC with EGFR mutation,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30634-5/fulltext,NA,NA,Placebo + Erlotinib,NA,NA,NA,NA,Form 2b,PFS,1st line treatment of NSCLC with EGFR mutation,RELAY,            Metastatic    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,Erlotinib,NA,0.59 (0.46-0.76),3,NA,NA,NA,12.4 months,7 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.04.2020,NA,22.04.2020,NA,NA,NA,NA,NA,NA,NA
Durvalumab,-,Placebo,Consolidation therapy in patients with stage III NSCLC who did not have disease progression after two or more cycles of platinum-based chemo radiotherapy,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Locally advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1709937?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.nejm.org/doi/full/10.1056/NEJMoa1809697?query=featured_home,https://www.sciencedirect.com/science/article/pii/S1556086419335294,Placebo,NA,NA,NA,NA,Form 2a,PFS ITT population across all PD-L1 categories,Consolidation therapy in patients with stage III NSCLC who did not have disease progression after two or more cycles of platinum-based chemo radiotherapy ,PACIFIC,            Locally advanced    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.52 (0.42-0.65),4,28.7 months   2-year OS survival: 55.6%,13 months (Calculated estimate of gain based on PE HR 0.68)  2-year OS gain: 10.7%,0.68 (0.53-0.875),5.6 months,11.2 months,4,NA,No benefit observed,NA,NA,NA,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30519-4/fulltext,NA,NA,NA,27.04.2020,NA,27.04.2020,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,Nab-paclitaxel,Placebo + nab-paclitaxel,1st line treatment for unresectable locally advanced or metastatic triple-negative breast cancer,Breast Cancer,Breast Cancer,PD-L1+,Locally advanced or metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1809615,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30689-8/fulltext,https://www.annalsofoncology.org/article/S0923-7534(20)36038-5/pdf,Placebo + nab-paclitaxel,NA,NA,NA,NA,Form 2b,PFS stratified for PD-L1+,1st line treatment for unresectable locally advanced or metastatic triple-negative breast cancer,IMpassion130,            Locally advanced or metastatic    ,PD-L1+,Breast Cancer,Breast Cancer,Nab-paclitaxel,NA,0.62 (0.49-0.78),3,18.0 months,7.0 months,0.74 (0.54-0.94) *Exploratory unplanned post hoc analysis not eligible for ESMO-MCBS grading ,5.0 months,2.5 months,3,NA,No benefit observed,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.05.2020,NA,13.05.2020,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,Trametinib,Placebo,Adjuvant treatment of melanoma after surgical resection. BRAF V600 mutation,Skin Cancers,Melanoma,BRAF+,Adjuvant,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1708539?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,https://ascopubs.org/doi/full/10.1200/JCO.18.01219?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30940-9/fulltext,Placebo,NA,NA,NA,A,Form 1,RFS,Adjuvant treatment of melanoma after surgical resection. BRAF V600 mutation ,COMBI-AD,            Adjuvant    ,BRAF+,Melanoma,Skin Cancers,Trametinib,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QoL reported (exploratory outcome)*,23.07.2020,NA,NA,NA,NA,NA,*QoL evaluated as an exploratory endpoint  (as distinct from primary or secondary endpoint) is not eligible for ESMO-MCBS grading,NA,NA,09.06.2020,NA,09.06.2020,NA,NA,NA,16.6 months 3-years 39%,27.9 months 3-years 19%,0.47 (0.39-0.58),NA
Pembrolizumab,-,Placebo,Adjuvant treatment of adults with stage III melanoma and lymph node involvement after complete resection,Skin Cancers,Melanoma,-,Adjuvant,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1802357?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,https://jamanetwork.com/journals/jamaoncology/fullarticle/2757843,NA,Placebo,NA,NA,NA,A,Form 1,RFS,Adjuvant treatment of adults with stage III melanoma and lymph node involvement after complete resection,MK-2475-054/4658-MG/KEYNOTE-054,            Adjuvant    ,NA,Melanoma,Skin Cancers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.07.2020,NA,Higher incidence of acute and persisting adverse effects,NA,RFS,NA,NA,NA,NA,09.06.2020,NA,09.06.2020,NA,NA,NA,1-year 61%,1-year 14.4%,0.57 (0.43-0.74),NA
Nivolumab,-,Ipilimumab 10mg/kg,Adult patients with complete resection of stage IIIB/C or IV melanoma,Skin Cancers,Melanoma,-,Adjuvant,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1709030?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,NA,NA,Ipilimumab 10mg/kg,NA,NA,NA,A,Form 1,RFS,Adult patients with complete resection of stage IIIB/C or IV melanoma,CheckMate 238,            Adjuvant    ,NA,Melanoma,Skin Cancers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fewer treatment-related grade 3 or 4 adverse events 14.4% versus 45.9%,NA,RFS,NA,NA,NA,NA,09.06.2020,NA,09.06.2020,NA,NA,NA,1-year 60.8%,1-year 9.7%,0.66 (0.53-0.81),NA
Abiraterone,Prednisone + ADT (androgen deprivation therapy),ADT + placebo,Treatment of newly diagnosed high risk mHSPC in adult men in combination with ADT,Genitourinary Cancers,Prostate cancer,-,High Risk,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1704174?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30082-8/fulltext,NA,ADT + placebo,NA,NA,NA,NA,Form 2a,OS and PFS,Treatment of newly diagnosed high risk mHSPC in adult men in combination with ADT,LATITUDE,            High Risk    ,NA,Prostate cancer,Genitourinary Cancers,Prednisone + ADT (androgen deprivation therapy),NA,0.47 (0.39-0.55),4,36.5 months,16.8 months,0.66 (0.56-0.78),14.8 months,18.2 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.06.2020,NA,10.06.2020,NA,NA,NA,NA,NA,NA,NA
Apalutamide,ADT (androgen deprivation therapy),ADT + placebo,Treatment of non-metastatic CRPC who are at high risk of developing metastatic disease in combination with ADT,Genitourinary Cancers,Prostate cancer,-,High Risk,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1715546,NA,NA,ADT + placebo,NA,NA,NA,NA,Form 2b (Scoring of MFS on the same basis as PFS),MFS,Treatment of non-metastatic CRPC who are at high risk of developing metastatic disease in combination with ADT,SPARTAN,            High Risk    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,0.28 (0.23-0.35),3,NA,NA,NA,16.2 months,24.3 months,3,NA,NA,NA,NA,NA,NA,MFS,NA,NA,NA,NA,19.06.2020,NA,19.06.2020,NA,NA,NA,NA,NA,NA,NA
Abiraterone,Prednisone + ADT (androgen deprivation therapy),ADT + placebo,"First-line, high risk, serologic relapsed and metastatic, castration-sensitive prostate cancer in combination with ADT",Genitourinary Cancers,Prostate cancer,-,High Risk,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1702900,NA,NA,ADT + placebo,NA,NA,NA,NA,Form 2b (Scoring of FFS on the same basis as PFS),FFS,"First-line, high risk, serologic relapsed and metastatic, castration-sensitive prostate cancer in combination with ADT",STAMPEDE,            High Risk    ,NA,Prostate cancer,Genitourinary Cancers,Prednisone + ADT (androgen deprivation therapy),NA,0.29 (0.25-0.34),4,NA,NA,NA,24.0 months (Estimated from Kaplan Meier Plot),58.0 months (Calculated estimate of gain based on PE HR 0.29),3,NA,NA,NA,NA,NA,NA,FFS,NA,NA,NA,NA,19.06.2020,NA,19.06.2020,NA,NA,NA,NA,NA,NA,1+
Enzalutamide,ADT (androgen deprivation therapy),ADT,First-line metastatic hormone-sensitive prostate cancer combined with ADT,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1903835,NA,NA,ADT,NA,NA,NA,NA,"Form 2b (Form 2a cannot be applied since median OS not reached in the control arm, consequently, score derived from form 2b criteria with an upgrade for early stopping based on OS advantage detected at interim analysis)",OS,First-line metastatic hormone-sensitive prostate cancer combined with ADT,ENZAMET,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,0.40 (0.33-0.49),4,72% at 3-years,8% at 3-years,0.67 (0.52-0.86) interim OS (p=0.002 <0.003 threshold for interim analysis),24 months (Estimated from Kaplan Meier Plot),36 months (Calculated estimate of gain based on PE HR 0.40),3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,30.06.2020,NA,30.06.2020,NA,NA,NA,NA,NA,NA,1+
Enzalutamide,ADT (androgen deprivation therapy),ADT + placebo,Non-metastatic CRPC with PSA doubling time <10 months combined with ADT,Genitourinary Cancers,Prostate cancer,-,Non-metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1800536,NA,NA,ADT + placebo,NA,NA,NA,NA,Form 2b (Scoring of MFS on the same basis as PFS),MFS,Non-metastatic CRPC with PSA doubling time <10 months combined with ADT,PROSPER,            Non-metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,0.29 (0.24-0.35),3,NA,NA,NA,14.7 months,21.9 months,3,NA,NA,NA,NA,NA,NA,MFS,NA,NA,NA,NA,30.06.2020,NA,30.06.2020,NA,NA,NA,NA,NA,NA,NA
Docetaxel,ADT (androgen deprivation therapy),ADT,Treatment for metastatic CRPC combined with ADT,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1503747,https://ascopubs.org/doi/full/10.1200/JCO.2017.75.3657?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,https://ascopubs.org/doi/full/10.1200/JCO.2017.75.3335?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,ADT,NA,NA,NA,NA,Form 2a,OS high volume disease control,Treatment for metastatic CRPC combined with ADT,CHAARTED,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,NA,4,34.4 months,16.8 months,0.63 (0.50-0.79),NA,NA,4,NA,Not creditable (Benefits observed were less than the described threshold for clinical significance),NA,NA,NA,NA,OS,NA,NA,NA,NA,30.06.2020,NA,30.06.2020,NA,NA,NA,NA,NA,NA,NA
Docetaxel,ADT (androgen deprivation therapy),ADT,Treatment for metastatic CRPC combined with ADT,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1503747,https://ascopubs.org/doi/full/10.1200/JCO.2017.75.3657?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,https://ascopubs.org/doi/full/10.1200/JCO.2017.75.3335?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,ADT,NA,NA,NA,NA,Form 2a,OS ITT,Treatment for metastatic CRPC combined with ADT,CHAARTED,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,NA,4, 47.2 months,10.4 months ,0.72 (0.59-0.89),NA,NA,4,NA,Not creditable (Benefits observed were less than the described threshold for clinical significance),NA,NA,NA,NA,OS,NA,NA,NA,NA,30.06.2020,NA,30.06.2020,NA,NA,NA,NA,NA,NA,NA
Docetaxel,ADT (androgen deprivation therapy),ADT,"First-line long-term hormone therapy for high-risk locally advanced, metastatic or recurrent combined with ADT",Genitourinary Cancers,Prostate cancer,-,High-risk locally advanced,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)01037-5/fulltext,NA,NA,ADT,NA,NA,NA,NA,Form 2a,OS,"First-line long-term hormone therapy for high-risk locally advanced, metastatic or recurrent combined with ADT",STAMPEDE,            High-risk locally advanced    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,NA,4,71.0 months,10.0 months,0.78 (0.66-0.93),NA,NA,4,NA,NA,NA,NA,Grade 3+ 52% versus 32%,NA,OS,NA,NA,NA,NA,30.06.2020,NA,30.06.2020,NA,NA,NA,NA,NA,NA,NA
Darolutamide,ADT (androgen deprivation therapy),ADT + placebo,Non-metastatic castration resistant prostate cancer for adult men who are at high risk of developing metastatic disease. PSA doubling time of <10 months combined with ADT,Genitourinary Cancers,Prostate cancer,-,Non-metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1815671,NA,NA,ADT + placebo,NA,NA,NA,NA,Form 2b (Scoring of MFS on the same basis as PFS),MFS,Non-metastatic castration resistant prostate cancer for adult men who are at high risk of developing metastatic disease. PSA doubling time of <10 months combined with ADT,ARAMIS,            Non-metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,0.41 (0.34-0.50),3,NA,NA,NA,18.4 months,22.0 months,3,NA,NA,NA,NA,NA,NA,MFS,NA,NA,NA,NA,01.07.2020,NA,01.07.2020,NA,NA,NA,NA,NA,NA,NA
Apalutamide,ADT (androgen deprivation therapy),ADT + placebo,Treatment of Metastatic CSPC in combination with ADT,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1903307,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(19)30620-5/fulltext,NA,ADT + placebo,NA,NA,NA,NA,"Form 2b (Form 2a cannot be applied since median OS not reached in the control arm, consequently, score derived from form 2b criteria with an upgrade for early stopping based on OS advantage detected at interim analysis)",PFS/OS,Treatment of Metastatic CSPC in combination with ADT,TITAN,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,ADT (androgen deprivation therapy),NA,0.48 (0.39-0.60),4,74% at 2-years,8% at 2-years, 0.67 (0.51-0.89) interim OS (p=0.005 <0.009 threshold for interim analysis) ,22.1 months,23.0 months (Calculated estimate of gain based on PE HR 0.48),3,NA,No benefit,NA,NA,Ischemic heart disease 4.4% versus 1.5%,NA,PFS,NA,NA,NA,NA,01.07.2020,NA,01.07.2020,NA,NA,NA,NA,NA,NA,1+
Pasireotide,-,Single arm study,Advanced carcinoids of the lung and thymus,Endocrine Tumours,Neuroendocrine Tumour,Lung and thymic carcinoids,Advanced,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30681-2/fulltext,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,PFS (Phase II),Advanced carcinoids of the lung and thymus,LUNA,            Advanced    ,Lung and thymic carcinoids,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,NA,3,NA,NA,NA,NA,8.5 months,3,NA,No data,NA,NA,NA,NA,PFS,NA,NA,NA,NA,14.07.2020,NA,14.07.2020,NA,NA,NA,NA,NA,NA,NA
Everolimus,-,Single arm study,Advanced carcinoids of the lung and thymus,Endocrine Tumours,Neuroendocrine Tumour,Lung and thymic carcinoids,Advanced,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30681-2/fulltext,NA,NA,Single arm study ,NA,NA,NA,NA,Form 3,PFS (Phase II),Advanced carcinoids of the lung and thymus,LUNA,            Advanced    ,Lung and thymic carcinoids,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,NA,3,NA,NA,NA,NA,12.5 months,3,NA,No data,NA,NA,NA,NA,PFS,NA,NA,NA,NA,14.07.2020,NA,14.07.2020,NA,NA,NA,NA,NA,NA,NA
Everolimus,Pasireotide,Single arm study,Advanced carcinoids of the lung and thymus,Endocrine Tumours,Neuroendocrine Tumour,Lung and thymic carcinoids,Advanced,2,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30681-2/fulltext,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,PFS (Phase II),Advanced carcinoids of the lung and thymus,LUNA,            Advanced    ,Lung and thymic carcinoids,Neuroendocrine Tumour,Endocrine Tumours,Pasireotide,NA,NA,2,NA,NA,NA,NA,11.8 months,3,NA,No data,NA,1-,>30% grade 3-4 toxicities impacting on daily well-being,NA,PFS,NA,NA,NA,NA,14.07.2020,NA,14.07.2020,NA,NA,NA,NA,NA,NA,NA
Cetuximab,Cisplatin or carboplatin plus 5-FU,Cisplatin or carboplatin plus 5-FU,First-line treatment of patients with recurrent or metastatic SCCHN,Head and neck cancer,Squamous cell,-,Recurrent or metastatic,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa0802656,https://www.annalsofoncology.org/article/S0923-7534(19)39580-8/abstract,NA,Cisplatin or carboplatin plus 5-FU,NA,NA,NA,NA,Form 2a,OS,First-line treatment of patients with recurrent or metastatic SCCHN,NA,            Recurrent or metastatic    ,NA,Squamous cell,Head and neck cancer,Cisplatin or carboplatin plus 5-FU,NA,NA,3,7.4 months,2.7 months,0.80 (0.64-0.99),NA,NA,3,NA,No benefit observed,NA,NA,NA,NA,OS,NA,NA,NA,NA,15.07.2020,NA,15.07.2020,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Investigator choice (methotrexate or cetuximab or docetaxel),Treatment of patients with recurrent SCCHN,Head and neck cancer,Squamous cell,-,Recurrent,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1602252,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30421-7/fulltext,NA,Investigator choice (methotrexate or cetuximab or docetaxel),NA,NA,NA,NA,Form 2a,OS,Treatment of patients with recurrent SCCHN,CheckMate141,            Recurrent    ,NA,Squamous cell,Head and neck cancer,NA,NA,NA,4,5.1 months,2.4 months,0.70 (0.51-0.96),NA,NA,3,NA,"QoL improved (exploratory end point, therefore, not creditable)",NA,1+,Reduced toxicity,NA,OS,NA,NA,NA,NA,15.07.2020,NA,15.07.2020,NA,NA,NA,NA,NA,NA,NA
Rucaparib,-,Single arm (Phase II),"Platinum sensitive, relapsed or progressive, BRCA mutated (germline and/or somatic), high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have been treated with two or more prior lines of platinum based chemotherapy, and who are unable to tolerate further platinum based chemotherapy.",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",BRCA mutation,Relapsed or progressive,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(16)30559-9/fulltext,https://ijgc.bmj.com/content/29/9/1396.long,NA,Single arm (Phase II),NA,NA,NA,NA,Form 3,ORR ,"Platinum sensitive, relapsed or progressive, BRCA mutated (germline and/or somatic), high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer, who have been treated with two or more prior lines of platinum based chemotherapy, and who are unable to tolerate further platinum based chemotherapy.                 ",ARIEL2,            Relapsed or progressive    ,BRCA mutation,"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,NA,3,NA,NA,NA,12.8 months,NA,3,NA,NA,NA,NA,NA,NA,ORR,NA,NA,NA,NA,17.07.2020,80%,17.07.2020,9.2 months,NA,NA,NA,NA,NA,NA
Rucaparib,-,Placebo,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",Gynaecological Malignancies,"Ovarian, fallopian tubes and peritoneum cancer",Homologous recombination deficiencies (HRD) (BRCA mutant or BRCA wild-type and high loss of heterozygosity),Relapsed high grade,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)32440-6/fulltext,https://www.thelancet.com/pdfs/journals/lanonc/PIIS1470-2045(20)30061-9.pdf,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Maintenance treatment of patients with platinum sensitive relapsed high-grade epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in response (complete or partial) to platinum-based chemotherapy",ARIEL3,            Relapsed high grade    ,Homologous recombination deficiencies (HRD) (BRCA mutant or BRCA wild-type and high loss of heterozygosity),"Ovarian, fallopian tubes and peritoneum cancer",Gynaecological Malignancies,NA,NA,0.32 (0.24-0.42),3,NA,NA,NA,5.4 months,8.2 months,3,NA,NA,NA,NA,NA,NA,PFS,NA,NA,NA,NA,17.07.2020,NA,17.07.2020,NA,NA,NA,NA,NA,NA,NA
